Date,InvQty,POQty
1/3/2015,164,4800
1/10/2015,216,4704
1/17/2015,95,5064
1/24/2015,2137,2928
1/31/2015,1890,3408
2/7/2015,4365,1008
2/14/2015,3512,3864
2/21/2015,400,6624
2/28/2015,961,8664
3/7/2015,7368,1296
3/14/2015,6611,456
3/21/2015,6770,240
3/28/2015,6808,48
4/4/2015,6805,0
4/11/2015,6804,0
4/18/2015,6760,0
4/25/2015,6722,0
5/2/2015,6362,96
5/9/2015,6301,0
5/16/2015,6050,360
5/23/2015,6362,120
5/30/2015,6189,120
6/6/2015,6206,120
6/13/2015,6097,600
6/20/2015,5029,0
6/27/2015,5000,0
7/4/2015,4949,0
7/11/2015,4999,0
7/18/2015,4999,96
7/25/2015,4790,120
8/1/2015,1846,960
8/8/2015,2781,0
8/15/2015,1932,0
8/22/2015,1010,1128
8/29/2015,1247,2256
9/5/2015,820,2568
9/12/2015,756,2256
9/19/2015,2692,288
9/26/2015,1997,48
10/3/2015,1993,360
10/10/2015,1629,120
10/17/2015,1591,48
10/24/2015,1450,72
10/31/2015,1231,1440
11/7/2015,1739,360
11/14/2015,1651,0
11/21/2015,1638,600
11/28/2015,1797,1008
12/5/2015,806,768
12/12/2015,1296,480
12/19/2015,1263,744
12/26/2015,1193,744
1/2/2016,1088,744
1/9/2016,1581,360
1/16/2016,1266,600
1/23/2016,1483,1080
1/30/2016,760,840
2/6/2016,940,1368
2/13/2016,2101,524
2/20/2016,1807,740
2/27/2016,1141,1100
3/5/2016,1990,260
3/12/2016,2033,44
3/19/2016,1958,164
3/26/2016,1910,164
4/2/2016,1394,1004
4/9/2016,1043,1004
4/16/2016,2034,500
