Date,InvQty,POQty
1/3/2015,459,5300
1/10/2015,51,5250
1/17/2015,51,5100
1/24/2015,1,6200
1/31/2015,0,6200
2/7/2015,2,6200
2/14/2015,0,6200
2/21/2015,3700,3900
2/28/2015,425,5000
3/7/2015,4245,800
3/14/2015,2774,0
3/21/2015,2172,4000
3/28/2015,4164,2100
4/4/2015,4163,2100
4/11/2015,5763,0
4/18/2015,5761,0
4/25/2015,5121,0
5/2/2015,5118,1100
5/9/2015,6112,50
5/16/2015,5867,0
5/23/2015,5735,150
5/30/2015,5695,150
6/6/2015,5838,0
6/13/2015,5677,100
6/20/2015,4395,0
6/27/2015,4215,150
7/4/2015,4207,150
7/11/2015,4257,100
7/18/2015,4267,450
7/25/2015,3593,350
8/1/2015,3468,200
8/8/2015,3085,150
8/15/2015,2933,100
8/22/2015,2352,1850
8/29/2015,1586,2900
9/5/2015,1800,1400
9/12/2015,1526,1750
9/19/2015,2713,50
9/26/2015,2151,50
10/3/2015,1704,1550
10/10/2015,1663,100
10/17/2015,1602,2200
10/24/2015,1491,2300
10/31/2015,3741,550
11/7/2015,3439,150
11/14/2015,2474,50
11/21/2015,674,3150
11/28/2015,3646,800
12/5/2015,3203,700
12/12/2015,3853,50
12/19/2015,3093,3250
12/26/2015,142,2900
1/2/2016,0,2900
1/9/2016,2300,6700
1/16/2016,1700,9250
1/23/2016,200,9250
1/30/2016,0,9250
2/6/2016,0,11750
2/13/2016,0,11950
2/20/2016,0,12050
2/27/2016,0,12050
3/5/2016,9150,2900
3/12/2016,2850,6650
3/19/2016,2757,5450
3/26/2016,2657,5450
4/2/2016,2732,5350
4/9/2016,2670,7500
4/16/2016,2576,7500
