Date,week_sale,week_InvQty
1/10/2015,1364.02,603
1/17/2015,5058.07,615
1/24/2015,4194.75,745
1/31/2015,5319.3,678
2/7/2015,7448.22,879
2/14/2015,1277.34,551
2/21/2015,4025.53,843
2/28/2015,665.55,912
3/7/2015,8446.62,1001
3/14/2015,11054.25,803
3/21/2015,459.85,240
3/28/2015,6218.52,1107
4/4/2015,5390.7,862
4/11/2015,321.3,799
4/18/2015,692.4,781
4/25/2015,1338.75,882
5/2/2015,2677.5,806
5/9/2015,485.95,656
5/16/2015,1150.12,679
5/23/2015,589.05,710
5/30/2015,1039.41,676
6/6/2015,874.65,620
6/13/2015,1606.5,570
6/20/2015,1833.79,649
6/27/2015,996.16,552
7/4/2015,1485.74,530
7/11/2015,4141.2,497
7/18/2015,2469.69,310
7/25/2015,896.09,362
8/1/2015,821.1,581
8/8/2015,7801.77,606
8/15/2015,1868.67,248
8/22/2015,398.19,217
8/29/2015,5636.46,314
9/5/2015,1632.17,301
9/12/2015,3462.9,520
9/19/2015,1798.53,565
9/26/2015,826.81,511
10/3/2015,886.53,490
10/10/2015,589.05,562
10/17/2015,1274.13,554
10/24/2015,785.4,530
10/31/2015,4856.67,487
11/7/2015,397.53,380
11/14/2015,985.98,409
11/21/2015,1591.8,369
11/28/2015,6780.75,365
12/5/2015,160.65,141
12/12/2015,3618.37,685
12/19/2015,561.4,496
12/26/2015,89.25,474
1/2/2016,124.95,469
1/9/2016,89.25,463
1/16/2016,210.99,576
1/23/2016,231.18,568
1/30/2016,493.57,541
2/6/2016,203.61,567
2/13/2016,1053.15,555
2/20/2016,6207.78,496
2/27/2016,660.45,222
3/5/2016,443.94,444
3/12/2016,411.21,482
3/19/2016,71.4,464
3/26/2016,237.62,484
