Date,InvQty,POQty
1/10/2015,15711,10450
1/17/2015,0,12950
1/24/2015,451,19000
1/31/2015,1,22500
2/7/2015,0,25500
2/14/2015,0,30500
2/21/2015,0,30500
2/28/2015,0,30500
3/7/2015,2200,28800
3/14/2015,4000,24800
3/21/2015,9399,20000
3/28/2015,13026,17500
4/4/2015,7681,16000
4/11/2015,5838,10500
4/18/2015,10500,5500
4/25/2015,10850,0
5/2/2015,8693,5000
5/9/2015,8160,5000
5/16/2015,6160,5000
5/23/2015,5650,7000
5/30/2015,12550,1000
6/6/2015,12767,500
6/13/2015,12547,500
6/20/2015,12342,1500
6/27/2015,13310,0
7/4/2015,12789,0
7/11/2015,12333,3000
7/18/2015,11859,3000
7/25/2015,14066,0
8/1/2015,11340,0
8/8/2015,11174,0
8/15/2015,10971,0
8/22/2015,9441,0
8/29/2015,6892,1200
9/5/2015,2308,1200
9/12/2015,1908,1000
9/19/2015,2158,0
9/26/2015,1200,3100
10/3/2015,3600,500
10/10/2015,1701,8000
10/17/2015,5020,3300
10/24/2015,1906,5200
10/31/2015,5230,650
11/7/2015,4244,4200
11/14/2015,4349,4200
11/21/2015,4099,4200
11/28/2015,6809,200
12/5/2015,3999,200
12/12/2015,3341,3700
12/19/2015,1199,3700
12/26/2015,2792,2400
1/2/2016,3891,2400
1/9/2016,5282,3000
1/16/2016,2022,6800
1/23/2016,5070,2600
1/30/2016,7103,400
2/6/2016,6305,1550
2/13/2016,5733,1050
2/20/2016,8622,5100
2/27/2016,4916,3100
3/5/2016,4350,4050
3/12/2016,5050,0
3/19/2016,3360,10300
3/26/2016,5667,10800
