Date,InvQty,POQty
1/3/2015,353,560
1/10/2015,463,400
1/17/2015,585,320
1/24/2015,612,0
1/31/2015,520,520
2/7/2015,694,120
2/14/2015,671,520
2/21/2015,1004,0
2/28/2015,751,80
3/7/2015,771,40
3/14/2015,501,0
3/21/2015,347,320
3/28/2015,506,440
4/4/2015,556,360
4/11/2015,639,760
4/18/2015,153,760
4/25/2015,322,480
5/2/2015,521,240
5/9/2015,435,480
5/16/2015,688,200
5/23/2015,516,520
5/30/2015,935,0
6/6/2015,821,80
6/13/2015,858,1000
6/20/2015,1050,0
6/27/2015,899,120
7/4/2015,961,40
7/11/2015,932,40
7/18/2015,922,40
7/25/2015,821,40
8/1/2015,813,280
8/8/2015,682,232
8/15/2015,789,40
8/22/2015,722,80
8/29/2015,647,160
9/5/2015,559,360
9/12/2015,525,400
9/19/2015,643,160
9/26/2015,599,40
10/3/2015,564,480
10/10/2015,598,120
10/17/2015,626,120
10/24/2015,561,240
10/31/2015,346,960
11/7/2015,940,640
11/14/2015,661,0
11/21/2015,616,560
11/28/2015,805,560
12/5/2015,592,400
12/12/2015,973,0
12/19/2015,933,0
12/26/2015,831,0
1/2/2016,800,0
1/9/2016,783,0
1/16/2016,765,0
1/23/2016,749,160
1/30/2016,443,160
2/6/2016,512,0
2/13/2016,227,240
2/20/2016,180,520
2/27/2016,681,240
3/5/2016,625,432
3/12/2016,593,560
3/19/2016,196,840
3/26/2016,169,2920
4/2/2016,169,3360
4/9/2016,2267,1288
4/16/2016,1366,440
