Date,week_sale,week_InvQty
1/10/2015,184,216
1/17/2015,102,95
1/24/2015,259,2137
1/31/2015,191,1890
2/7/2015,1576,4365
2/14/2015,3442,3512
2/21/2015,421,400
2/28/2015,993,961
3/7/2015,1597,7368
3/14/2015,60,6611
3/21/2015,204,6770
3/28/2015,6,6808
4/4/2015,55,6805
4/11/2015,47,6804
4/18/2015,167,6760
4/25/2015,368,6722
5/2/2015,295,6362
5/9/2015,251,6301
5/16/2015,85,6050
5/23/2015,174,6362
5/30/2015,103,6189
6/6/2015,122,6206
6/13/2015,1689,6097
6/20/2015,64,5029
6/27/2015,99,5000
7/4/2015,-12,4949
7/11/2015,-49,4999
7/18/2015,304,4999
7/25/2015,30,4790
8/1/2015,26,1846
8/8/2015,1067,2781
8/15/2015,922,1932
8/22/2015,1071,1010
8/29/2015,1247,1247
9/5/2015,1100,820
9/12/2015,437,756
9/19/2015,944,2692
9/26/2015,193,1997
10/3/2015,629,1993
10/10/2015,158,1629
10/17/2015,200,1591
10/24/2015,294,1450
10/31/2015,934,1231
11/7/2015,450,1739
11/14/2015,68,1651
11/21/2015,208,1638
11/28/2015,1272,1797
12/5/2015,279,806
12/12/2015,35,1296
12/19/2015,71,1263
12/26/2015,109,1193
1/2/2016,255,1088
1/9/2016,464,1581
1/16/2016,182,1266
1/23/2016,962,1483
1/30/2016,725,760
2/6/2016,63,940
2/13/2016,777,2101
2/20/2016,713,1807
2/27/2016,41,1141
3/5/2016,170,1990
3/12/2016,80,2033
3/19/2016,52,1958
3/26/2016,517,1910
