Date,week_sale,week_InvQty
1/10/2015,51,51
1/17/2015,51,51
1/24/2015,0,1
1/31/2015,0,0
2/7/2015,7,2
2/14/2015,27,0
2/21/2015,3700,3700
2/28/2015,401,425
3/7/2015,2300,4245
3/14/2015,602,2774
3/21/2015,2007,2172
3/28/2015,-2,4164
4/4/2015,500,4163
4/11/2015,3,5763
4/18/2015,640,5761
4/25/2015,22,5121
5/2/2015,55,5118
5/9/2015,297,6112
5/16/2015,182,5867
5/23/2015,74,5735
5/30/2015,7,5695
6/6/2015,161,5838
6/13/2015,923,5677
6/20/2015,711,4395
6/27/2015,113,4215
7/4/2015,0,4207
7/11/2015,40,4257
7/18/2015,1074,4267
7/25/2015,326,3593
8/1/2015,438,3468
8/8/2015,204,3085
8/15/2015,633,2933
8/22/2015,967,2352
8/29/2015,1592,1586
9/5/2015,622,1800
9/12/2015,537,1526
9/19/2015,562,2713
9/26/2015,451,2151
10/3/2015,1591,1704
10/10/2015,907,1663
10/17/2015,716,1602
10/24/2015,-1050,1491
10/31/2015,802,3741
11/7/2015,1113,3439
11/14/2015,1802,2474
11/21/2015,32,674
11/28/2015,545,3646
12/5/2015,1,3203
12/12/2015,760,3853
12/19/2015,3056,3093
12/26/2015,413,142
1/2/2016,0,0
1/9/2016,2201,2300
1/16/2016,1701,1700
1/23/2016,201,200
1/30/2016,1,0
2/6/2016,3,0
2/13/2016,2,0
2/20/2016,6,0
2/27/2016,25,0
3/5/2016,6555,9150
3/12/2016,1297,2850
3/19/2016,100,2757
3/26/2016,36,2657
