SKU,total sale
IC1931,-30
CA1001WBML,-21.7
AC208K12,0
ACM7000K12,0
MRMS3206,20
MRMS3209,20
MRMS3203,25
IC1003BK,30
MRMS3201,75
CA3050,78
MRMS3305,100
CA2027,107.5
CA3350,115.8
CA2022,162
PS2500,180
CA2050CYB,203.55
IC1003BR,210
MRMS3307,260
AC740NEW,286.89
IC1932,300
MRMS3304,300
CA3610,427.35
CA3092BT,540
IMC7BK,616
IS4000,675
UC7650,868.43
MRMS3204,1025
AC63B,1028.6
ACM60B,1152.02
MRMS3306,1360
IC900,1460.47
PS2370,1703.45
IMC7RD,2156
UC7450,2166.61
IC1930,2220
MRMS3448,2400
PS2350,2596.75
ACM7003,3157.35
CA3488,4050
CAMP44,4756.82
IC1940,5400
AC968,7778.7
ACM1B,7803.7
AC967,8310
ACM6004,9156.5
AC6008,14379.2
CVL1065B,20135.84
CA2002,21431.47
AC8003,24748.65
CA3810,25998.91
CA3614,26615.74
AC104,28593.01
CA3001RB,29236.8
CA2011WB,31171.9
ACM940,33380.08
CVL1064RB,35055
CA1001WB,36214.71
AC100B,40909.13
CA3908,46760
CA2026,51211.44
AC401,53886
AC400MV,54007.2
AC8000,54666.45
AC200B,58083.3
CA2988,59966.01
AC8002,65678.8
ACM51B,65856.67
ACM7000,70274.22
CA2014WB,70806.49
CA2880,71763.36
CA2012RB,75760.5
CA3550RB,80814.46
CA3090,81235.88
HE200RB,86543.7
CVL1084,105022.5
CA2014RB,139595.91
AC840,140784.23
CA3001WB,141671.5
AC851B,141740
ACM62B,154445.41
ACM90B,161389.71
CA3602,164155.01
ACM7002,171443.51
AC404,175570.63
CA2016WB,190302.78
AC201,218351.89
AC850,236094.14
AC960,253251.6
AC202B,274733.19
ACM70B,306131.4
ACM500RB,562526.83
AC204,950817.9
