,IC1931,IC1932,ACM1B,AC740NEW,UC7650,CA2050CYB,IC1003BK,CVL1084,ACM62B,CA2016WB,CA3602,AC208K12,CA1001WBML,AC967,AC968,IC1003BR,CA3810,CA2002,AC6008,CA2011WB,IS4000,CA2014WB,IC1940,AC960,AC104,AC204,PS2350,IMC7RD,IMC7BK,AC201,ACM7000,AC63B,ACM7002,AC401,ACM7003,CAMP44,AC400MV,AC404,ACM51B,ACM940,AC8002,AC851B,AC8003,CA3610,CA3908,AC100B,ACM90B,CA3614,CA2988,AC8000,CA3001RB,PS2500,IC1930,CA3550RB,AC840,ACM7000K12,CVL1064RB,CA2012RB,CA3488,CA3050,CA3350,AC202B,ACM70B,ACM60B,CA2022,CA3090,PS2370,MRMS3203,AC200B,CA2027,MRMS3204,CA2026,CA3001WB,AC850,CA2014RB,MRMS3201,MRMS3307,MRMS3306,ACM500RB,CA1001WB,MRMS3305,MRMS3448,CVL1065B,CA2880,CA3092BT,MRMS3304,UC7450,IC900,MRMS3206,HE200RB,MRMS3209,ACM6004
1/1/2015,0,0,0,0,0,0,0,0,0,135.6,0,0,0,0,0,0,0,14.6,0,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22,16.95,0,0,0,35.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2015,0,0,0,0,0,0,0,55,0,327.7,180,0,0,0,0,0,49,81.49,0,0,0,0,0,0,6.65,24.15,0,0,0,0,6.7,0,8.9,0,0,0,7.2,34.5,30,248,0,475,0,0,0,3.65,267.75,0,27.82,0,87.5,0,0,146,0,0,0,17,0,0,0,0,222.56,0,36,129,0,0,0,0,0,54,15.6,22,17,0,0,0,0,1478.4,0,0,0,13.91,45,0,0,0,0,39,0,0
1/3/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2015,0,0,41.92,7.79,0,0,0,27.5,0,154.39,365.85,0,0,0,0,0,147,361.27,0,-105.02,0,71.5,0,0,100.83,547.4,0,0,0,453.4,0,0,2646.2,42.4,0,27.44,7.2,0,-9.54,0,0,19,0,0,70,73,0,0,55.64,12.79,16.95,0,0,146,124.95,0,18.6,0,0,0,0,7.38,0,0,144,344,0,0,4.95,0,0,54,254.68,242,17,0,0,0,14.5,-9.6,0,0,47.55,141.36,0,0,0,20.57,0,1129.92,0,0
1/6/2015,0,0,0,0,0,0,0,27.5,12540,158.2,1859.4,0,0,0,0,0,0,211.7,0,33.5,25,100.1,0,0,7.73,8452.5,0,0,0,577.96,0,0,0,0,0,0,0,0,0,0,0,57,0,0,140,0,115.5,0,0,0,220.35,0,30,73,749.7,0,18.6,340,0,0,0,0,110,0,0,989,109.9,0,0,0,0,0,176.68,588.34,144.5,0,0,0,428.25,0,0,0,0,60.16,45,0,0,0,0,9697.4,0,0
1/7/2015,0,0,0,0,0,0,0,0,1901.9,448.19,797.85,0,0,0,0,0,0,132.59,0,26.8,25,143,0,0,0,4846.1,0,0,0,0,442.2,0,275.9,197.12,0,319,0,0,36.3,0,0,0,0,0,770,0,787.5,0,0,0,33.9,0,0,730,53.55,0,10.82,365.5,0,0,0,317.5,275,0,18,365.5,0,0,0,0,0,38.93,265.2,22,8.5,0,0,0,725,0,0,0,53.89,250.38,0,0,0,0,0,234,0,0
1/8/2015,0,0,66.03,0,0,0,0,68.75,3241.15,600.84,978.21,0,0,0,0,0,49,118.06,0,201,0,35.75,0,0,7.8,15010.3,0,0,0,343.68,134,0,0,349.8,0,0,36,0,19.5,0,0,0,0,0,210,3.65,840,0,27.82,44,16.95,0,0,109.5,142.8,0,65.9,433.5,0,0,0,0,2532.74,0,0,129,0,0,188.1,0,0,72,2358.29,528,2074,0,0,0,1785,9.6,0,0,0,0,45,0,39.11,0,0,7.8,0,0
1/9/2015,0,0,0,0,0,0,0,41.25,190,107.52,1692,0,0,0,0,0,0,131.4,0,87.1,0,207.35,0,0,0,10134.95,0,0,0,15.56,0,0,267,213.83,0,0,72,345,0,0,25.3,0,0,0,210,0,0,0,69.55,121,355.95,0,0,1437.4,293.02,0,46.5,17,0,0,0,0,31680,0,-18,415.92,0,0,148.5,0,0,18,967.2,135.8,2144.38,0,0,0,2030,19.2,0,0,63.4,97.37,45,0,0,0,0,633.15,0,0
1/10/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/12/2015,0,60,45,0,0,0,0,536.25,1900,102.73,513.99,0,0,0,0,0,49,295.99,0,80.4,25,479.05,0,0,0,1972.25,0,0,0,107.4,6.7,0,8.9,271.77,0,27.44,7.2,3070.5,0,0,0,0,0,0,1050,186.15,52.5,0,-27.82,0,508.5,0,0,152.66,663.71,0,18.6,136,0,0,0,50.8,0,0,0,43,0,0,4.95,0,0,0,314.85,48.02,2261,0,0,0,2943.5,0,0,0,12.68,44.27,0,0,36,20.57,0,0,0,0
1/13/2015,0,0,2.25,15.58,0,0,0,508.75,410.4,1847.55,517.14,0,0,0,0,0,588,65.7,0,1204.8,0,479.05,0,0,0,5028.45,0,0,0,581.27,268,0,943.4,10.6,0,0,0,0,275.4,0,0,0,0,0,70,3.65,846,0,0,0,118.65,0,30,1028.66,53.55,0,69.75,25.5,0,0,0,266.7,78,0,0,86,0,0,0,0,0,0,15.6,264,25.5,0,0,0,0,0,0,0,6.34,41.73,0,0,18,0,0,492.16,0,0
1/14/2015,0,0,0,54.53,0,0,0,55,2294,186.45,409.14,0,0,0,0,0,0,139.38,0,93.8,0,350.35,0,0,0,853.3,0,0,0,0,23.76,0,26.7,371,0,13.72,0,172.5,0,1891,0,0,0,0,0,0,262.5,0,-13.91,0,161.82,0,0,36.5,89.25,0,13.95,348.5,0,0,0,0,54.6,0,0,150.5,0,0,0,0,0,273.29,0,1226.08,188.55,0,0,0,2182.25,864,0,0,0,-13.91,0,0,0,0,0,234,0,0
