,IC1931,IC1932,ACM1B,AC740NEW,UC7650,CA2050CYB,IC1003BK,CVL1084,ACM62B,CA2016WB,CA3602,AC208K12,CA1001WBML,AC967,AC968,IC1003BR,CA3810,CA2002,AC6008,CA2011WB,IS4000,CA2014WB,IC1940,AC960,AC104,AC204,PS2350,IMC7RD,IMC7BK,AC201,ACM7000,AC63B,ACM7002,AC401,ACM7003,CAMP44,AC400MV,AC404,ACM51B,ACM940,AC8002,AC851B,AC8003,CA3610,CA3908,AC100B,ACM90B,CA3614,CA2988,AC8000,CA3001RB,PS2500,IC1930,CA3550RB,AC840,ACM7000K12,CVL1064RB,CA2012RB,CA3488,CA3050,CA3350,AC202B,ACM70B,ACM60B,CA2022,CA3090,PS2370,MRMS3203,AC200B,CA2027,MRMS3204,CA2026,CA3001WB,AC850,CA2014RB,MRMS3201,MRMS3307,MRMS3306,ACM500RB,CA1001WB,MRMS3305,MRMS3448,CVL1065B,CA2880,CA3092BT,MRMS3304,UC7450,IC900,MRMS3206,HE200RB,MRMS3209,ACM6004
1/10/2015,0,0,107.95,7.79,0,0,0,165,17873.05,1469.14,5693.31,0,0,0,0,0,196,955.02,0,243.38,50,557.7,0,0,116.36,38991.25,0,0,0,1390.6,576.2,0,3189.1,803.15,0,346.44,115.2,345,46.26,0,25.3,76,0,0,1400,76.65,1743,0,153.01,177.79,644.1,0,30,2495.9,1364.02,0,160.42,1156,0,0,0,324.88,34597.74,0,144,2243.42,109.9,0,341.55,0,0,182.93,4022.05,1516.14,4388.38,0,0,0,4982.75,19.2,0,0,164.84,549.27,135,0,39.11,20.57,0,11702.27,0,0
1/17/2015,0,60,47.25,279.1,0,0,0,1718.75,7454.4,2447.48,1990.26,0,0,0,0,0,784,635.13,0,1476.46,25,1329.9,0,18177.9,149.34,25491.55,0,0,0,739.49,972.12,0,1063.16,1045.57,0,41.16,871.2,3346.5,423.9,1891,0,456,0,0,1400,189.8,1849.71,0,389.48,26.02,1585.62,0,30,1254.32,5058.07,0,6143.5,11823.5,0,0,0,325.01,197.6,0,0,408.5,0,0,202.95,0,0,723.29,3076.05,2198.1,2540.75,0,0,0,11796.44,902.4,0,0,31.7,99.91,0,0,90,20.57,0,882.16,0,0
1/24/2015,0,30,210.11,0,26.4,0,0,1086.25,1153.3,2059.99,3578.4,0,0,0,0,0,1470,950.46,0,229.14,25,815.1,0,73578.9,1065.33,23518.88,0,66,66,1871.6,3473.28,0,1833.4,1399.2,0,0,907.2,10683.5,90,124,12.65,152,0,0,490,3171.85,6403.95,0,139.1,118.8,525.45,0,750,8760,4194.75,0,791.43,1054,0,0,0,0,1174.8,0,0,933.1,164.85,0,1390.95,0,0,608.4,3806.4,6586.8,872.1,0,0,0,7152.85,524.16,0,0,91.93,770.61,0,0,61.2,41.14,0,1435.2,0,0
1/31/2015,0,0,131.47,0,22,0,0,288.75,11.7,2793.2,3192.84,0,0,0,0,30,392,1357.8,0,665.76,25,916.25,0,654.9,393.88,37973.6,0,0,22,1410.46,445.2,0,14101.7,84.8,0,71.76,2167.2,-2000.3,223.35,496,0,114,0,0,70,5504.2,5708.74,0,1391,3795,796.65,0,60,1898,5319.3,0,273.61,1139,0,0,0,0,739.32,0,0,1122.95,0,0,3078.9,0,0,394.56,627.59,3783.34,1956.3,0,0,0,14391.25,1794.3,0,0,168.01,1763.24,-45,0,36,0,0,877.05,0,0
2/7/2015,0,0,16.36,0,66,0,0,2200,88.44,2861.97,2340,0,0,0,0,60,196,832.2,0,408.11,25,806.65,0,1044.3,189.82,38038.44,0,0,0,11290.01,2206.13,0,2955.65,6428.4,0,0,936,3346.5,276.82,310,0,13148,0,0,1610,54.75,5409.4,0,1140.62,330,919.92,0,150,1350.5,7448.22,0,137.39,1079.5,0,0,0,53.1,2.8,0,0,1397.5,0,0,405.9,0,0,829.64,477.9,1986,635.96,0,0,0,56296.25,28.8,0,0,66.57,1279.72,0,0,63.82,61.71,0,3585.3,0,0
2/14/2015,0,30,263.84,0,0,0,0,398.75,1218.9,3683.02,3278.88,0,-12.1,0,0,0,1372,1307,0,1373.5,25,1358.5,0,2000.1,1035.94,12474.88,0,0,0,24812.12,978.72,0,8001.1,554.28,0,41.16,50.4,4600,481.74,945.5,9576.05,475,0,0,3080,2671.8,1451.06,0,1989.13,3135,762.75,0,0,885.49,1277.34,0,1151.16,1062.5,0,0,0,216,0,0,0,543.09,0,0,153.45,0,0,1166.04,468,9196.88,3128.68,0,0,0,10261.54,19.2,0,0,497.69,1621.94,0,0,18,20.57,0,1396.2,0,0
2/21/2015,0,0,74.8,0,0,0,0,577.5,0,2141.21,3879.36,0,0,0,0,0,245,666.13,0,959.86,0,1036.75,60,8761.5,156.26,3855.9,0,0,22,3052.02,509.2,0,18411.89,445.2,0,17.15,547.2,256.42,123.1,496,0,1843,0,0,840,29.2,3717,0,1182.35,657.47,788.19,0,0,365,4025.53,0,381.26,1487.5,0,0,0,23495.06,0,0,0,2090.88,0,0,21933.45,0,0,144,2211.46,1694,673.81,0,0,0,18998.49,64.8,0,0,57.06,518.15,0,0,121.5,41.14,0,858,0,0
2/28/2015,0,0,102.99,0,0,0,0,2777.5,0,2956.1,3222.5,0,0,0,0,0,833,744.82,0,1340.24,0,893.75,30,10071.3,385.7,394.68,0,0,0,7170.6,1695.64,0,13.48,3127,0,99.57,2354.4,658.8,218.76,170.5,2024,9557,0,0,280,365,9434.7,0,542.49,7676.13,1229.12,0,0,985.5,665.55,0,732.9,994.5,0,0,0,2580.58,0,0,18,1747.03,0,0,529.65,0,0,1242.52,830.81,4636.95,3705.08,0,0,0,41437.7,408.7,0,0,225.07,1697.02,0,0,0,20.57,0,2494.8,0,0
3/7/2015,0,0,7.33,0,0,0,0,1457.5,10520.79,2823.85,1746.5,0,0,0,0,0,245,627.8,0,450.8,0,1051.05,0,4920.6,299.25,101.2,0,0,0,11438.2,2123.9,0,0,10.6,0,113.29,4485.6,10603,90.45,232.5,0,3895,0,0,140,116.8,1640.7,0,69.55,1727,610.2,0,0,328.5,8446.62,0,256.95,1649,0,0,0,14652.27,4840,0,0,1129.06,0,0,9.9,0,0,220.63,1216.8,258.95,2620.18,0,0,0,19155.07,2880,0,0,256.77,358.46,0,0,18,41.14,0,3409,0,0
3/14/2015,0,0,27,0,0,0,0,1100,1520,1427.78,2475.06,0,-9.6,0,0,0,147,1148.7,0,397.27,0,1315.6,0,-177,1796.21,82.16,0,0,0,435.54,2450.51,0,235.16,53,0,27.44,7.2,2700.32,161.63,0,253,5738,0,0,420,65.7,0,0,431.21,1747.45,348.36,0,60,337.88,11054.25,0,353.45,1368.5,0,0,0,3822.7,8582.2,0,0,1198.06,0,0,-19.8,0,0,658.8,612.41,1144,1338.86,0,0,0,11787.41,9.6,0,0,389.91,287.06,180,0,0,20.57,0,82,0,0
