,IC1931,IC1932,ACM1B,AC740NEW,UC7650,CA2050CYB,IC1003BK,CVL1084,ACM62B,CA2016WB,CA3602,AC208K12,CA1001WBML,AC967,AC968,IC1003BR,CA3810,CA2002,AC6008,CA2011WB,IS4000,CA2014WB,IC1940,AC960,AC104,AC204,PS2350,IMC7RD,IMC7BK,AC201,ACM7000,AC63B,ACM7002,AC401,ACM7003,CAMP44,AC400MV,AC404,ACM51B,ACM940,AC8002,AC851B,AC8003,CA3610,CA3908,AC100B,ACM90B,CA3614,CA2988,AC8000,CA3001RB,PS2500,IC1930,CA3550RB,AC840,ACM7000K12,CVL1064RB,CA2012RB,CA3488,CA3050,CA3350,AC202B,ACM70B,ACM60B,CA2022,CA3090,PS2370,MRMS3203,AC200B,CA2027,MRMS3204,CA2026,CA3001WB,AC850,CA2014RB,MRMS3201,MRMS3307,MRMS3306,ACM500RB,CA1001WB,MRMS3305,MRMS3448,CVL1065B,CA2880,CA3092BT,MRMS3304,UC7450,IC900,MRMS3206,HE200RB,MRMS3209,ACM6004
1/10/2015,0,0,45,1,0,0,0,12,9406,258,157,0,0,0,0,0,4,130,0,36,2,78,0,0,17,4835,0,0,0,184,86,0,358,73,0,22,16,30,27,0,2,4,0,0,20,21,332,0,11,16,38,0,1,67,74,0,34,136,0,0,0,51,15724,0,8,104,2,0,69,0,0,10,257,65,481,0,0,0,677,2,0,0,52,39,3,0,2,1,0,1491,0,0
1/17/2015,0,2,21,32,0,0,0,125,3923,433,52,0,0,0,0,0,16,85,0,218,1,186,0,1027,19,3163,0,0,0,102,144,0,118,97,0,3,121,291,279,122,0,24,0,0,20,52,343,0,28,2,93,0,1,34,283,0,1321,1391,0,0,0,51,76,0,0,19,0,0,41,0,0,40,197,99,298,0,0,0,1624,94,0,0,10,7,0,0,5,1,0,108,0,0
1/24/2015,0,1,93,0,1,0,0,79,606,357,96,0,0,0,0,0,30,128,0,34,1,114,0,4157,160,2917,0,3,3,259,518,0,206,132,0,0,126,929,50,8,1,8,0,0,7,869,1220,0,10,9,31,0,25,240,235,0,170,124,0,0,0,0,520,0,0,42,3,0,281,0,0,33,244,297,101,0,0,0,978,54,0,0,29,55,0,0,3,2,0,184,0,0
1/31/2015,0,0,58,0,1,0,0,21,5,490,88,0,0,0,0,1,8,186,0,95,1,127,0,37,59,4714,0,0,1,191,63,0,1584,8,0,5,301,-185,144,32,0,6,0,0,1,1508,1083,0,100,345,47,0,2,52,298,0,57,134,0,0,0,0,273,0,0,52,0,0,622,0,0,21,40,163,229,0,0,0,1985,180,0,0,53,124,-1,0,2,0,0,109,0,0
2/7/2015,0,0,7,0,3,0,0,160,46,503,65,0,0,0,0,2,4,114,0,59,1,112,0,59,28,4725,0,0,0,1576,329,0,328,601,0,0,130,291,184,20,0,692,0,0,23,15,1029,0,82,30,54,0,5,37,414,0,29,127,0,0,0,7,1,0,0,65,0,0,82,0,0,45,29,90,74,0,0,0,7765,3,0,0,21,92,0,0,3,3,0,446,0,0
2/14/2015,0,1,117,0,0,0,0,29,510,649,89,0,-1,0,0,0,28,178,0,205,1,190,0,113,155,1518,0,0,0,3442,144,0,899,45,0,3,7,400,317,61,757,25,0,0,44,732,273,0,143,285,45,0,0,24,70,0,246,125,0,0,0,27,0,0,0,25,0,0,31,0,0,64,30,417,366,0,0,0,1406,2,0,0,157,114,0,0,1,1,0,179,0,0
2/21/2015,0,0,28,0,0,0,0,42,0,368,107,0,0,0,0,0,5,91,0,142,0,145,2,495,22,474,0,0,1,421,76,0,2068,42,0,1,76,18,82,32,0,97,0,0,12,8,708,0,85,59,45,0,0,10,225,0,68,175,0,0,0,3700,0,0,0,97,0,0,4431,0,0,8,139,65,78,0,0,0,2607,6,0,0,18,37,0,0,6,2,0,110,0,0
2/28/2015,0,0,45,0,0,0,0,202,0,496,89,0,0,0,0,0,17,101,0,170,0,125,1,569,58,39,0,0,0,993,250,0,1,295,0,7,327,56,137,11,160,503,0,0,4,100,1794,0,39,695,72,0,0,27,36,0,154,117,0,0,0,401,0,0,1,81,0,0,107,0,0,68,53,210,351,0,0,0,5704,40,0,0,71,122,0,0,0,1,0,316,0,0
3/7/2015,0,0,3,0,0,0,0,106,5537,498,48,0,0,0,0,0,5,86,0,66,0,147,0,278,45,10,0,0,0,1597,317,0,0,1,0,8,623,922,59,15,0,205,0,0,2,32,312,0,5,157,36,0,0,9,466,0,55,194,0,0,0,2300,2200,0,0,52,0,0,2,0,0,12,78,11,308,0,0,0,2639,300,0,0,81,25,0,0,1,2,0,415,0,0
3/14/2015,0,0,12,0,0,0,0,80,800,235,68,0,-1,0,0,0,3,155,0,56,0,184,0,-10,269,8,0,0,0,60,357,0,21,5,0,2,1,234,100,0,20,302,0,0,6,18,0,0,31,155,20,0,2,9,618,0,73,161,0,0,0,602,3901,0,0,56,0,0,-4,0,0,35,39,52,157,0,0,0,1621,1,0,0,123,19,4,0,0,1,0,10,0,0
3/21/2015,0,1,71,0,0,0,0,110,364,635,37,0,0,0,0,0,10,123,0,96,-2,71,0,155,69,6717,0,0,1,204,323,0,1123,99,0,1,13,116,85,15,0,648,0,0,3,-2,1614,0,67,134,3,0,0,12,23,0,28,91,0,0,0,2007,9599,0,0,38,0,0,685,0,0,32,286,89,164,0,0,0,1702,19,0,0,18,108,0,0,1,1,0,648,0,0
3/28/2015,0,0,203,0,0,0,0,187,5554,217,47,0,0,0,0,0,7,178,0,40,0,443,1,199,169,1332,0,0,0,6,256,0,1671,96,0,57,70,18,163,67,0,285,0,0,5,23,1464,0,296,55,24,0,0,17,332,0,92,26,0,0,0,-2,12585,0,0,18,0,0,14,0,0,93,15,268,32,0,0,0,588,20,0,0,65,100,0,0,2,0,0,386,0,0
4/4/2015,0,0,61,0,0,0,0,1083,88,593,31,0,0,0,0,0,3,95,0,120,0,24,0,234,7,171,0,0,0,55,387,0,70,36,0,12,0,687,175,150,130,33,0,0,6,13,388,0,6,166,11,0,0,17,302,0,171,71,0,0,0,500,7526,0,0,33,0,0,205,0,0,0,14,43,123,0,0,0,180,0,0,0,26,72,0,0,1,0,0,268,0,0
4/11/2015,0,0,106,0,0,0,0,75,9,315,42,0,0,0,0,1,8,99,0,50,0,734,0,627,4,513,0,0,0,47,283,0,36,33,0,13,0,8,153,10,192,154,0,0,12,108,1170,0,8,4,5,0,0,12,18,0,73,47,0,0,0,3,381,0,0,30,0,0,5,0,0,51,424,124,501,0,0,0,4,209,0,0,114,112,2,0,0,2,0,143,0,0
